Country Code,year,econ_score,social_score,physical_score,total_score
ABW,2022,,15.39,58.85,63.79
ABW,2023,,27.85,58.86,63.75
ABW,2024,,31.36,,57.84
AFG,2005,21.42,14.68,31.1,24.9
AFG,2006,21.5,11.27,31.23,24.99
AFG,2007,21.72,7.98,34.1,24.93
AFG,2008,21.82,14.08,31.71,24.83
AFG,2009,22.59,11.83,32.05,24.84
AFG,2010,23.2,12.18,31.22,25.07
AFG,2011,23.62,8.7,30.6,25.69
AFG,2012,14.66,10.65,29.3,26.25
AFG,2013,24.64,4.61,31.11,27.23
AFG,2014,18.57,6.51,30.95,28.61
AFG,2015,27.27,4.64,33.59,29.3
AFG,2016,28.43,4.59,37.13,31.32
AFG,2017,13.67,5.5,43.68,32.17
AFG,2018,27.83,4.31,46.26,32.77
AFG,2019,25.38,15.22,45.52,33.52
AFG,2020,13.86,15.25,44.74,33.19
AFG,2021,16.07,19.41,46.03,32.41
AFG,2022,59.72,75.08,37.84,32.72
AFG,2023,59.75,44.82,38.59,33.03
AFG,2024,60.67,0.2,,51.16
AGO,1990,52.87,37.71,76.15,28.4
AGO,1991,61.09,26.01,71.17,28.05
AGO,1992,61.12,26.39,73.34,28.07
AGO,1993,61.43,31.15,84.31,28.18
AGO,1994,61.42,31.25,82.64,28.45
AGO,1995,61.23,31.2,62.15,28.68
AGO,1996,61.03,31.18,58.05,28.95
AGO,1997,60.92,33.97,62.68,30.01
AGO,1998,60.86,27.94,69.04,31.41
AGO,1999,60.93,31.4,75.24,32.38
AGO,2000,60.97,56.19,57.67,33.04
AGO,2001,60.97,41.6,58.34,33.53
AGO,2002,60.49,53.36,54.72,34.05
AGO,2003,60.67,52.95,49.84,35.0
AGO,2004,49.03,31.89,50.04,35.66
AGO,2005,59.92,51.54,48.1,36.17
AGO,2006,59.62,54.53,47.8,37.74
AGO,2007,59.17,72.54,46.08,39.25
AGO,2008,58.79,29.04,46.0,42.37
AGO,2009,64.82,21.83,46.82,43.72
AGO,2010,59.61,20.69,45.57,44.24
AGO,2011,49.15,17.59,47.03,44.45
AGO,2012,55.7,48.72,48.39,45.32
AGO,2013,57.31,46.53,48.15,45.96
AGO,2014,60.95,32.33,47.48,46.66
AGO,2015,59.45,24.02,47.7,46.8
AGO,2016,60.68,44.39,46.32,46.74
AGO,2017,61.66,53.72,47.57,46.28
AGO,2018,62.76,51.41,48.31,46.23
AGO,2019,58.41,38.38,48.15,46.24
AGO,2020,63.56,53.93,50.98,46.1
AGO,2021,59.93,41.87,50.63,46.08
AGO,2022,36.52,33.78,37.18,46.3
AGO,2023,40.47,37.91,37.49,45.55
AGO,2024,32.97,41.64,,60.68
ALB,1999,58.33,46.73,55.41,66.94
ALB,2000,58.86,43.02,51.3,69.32
ALB,2001,55.38,43.76,48.91,73.1
ALB,2002,60.4,48.47,45.95,73.78
